id,cycle_1,cycle_2,cycle_3,cycle_4,cycle_5
90,1,1,1,1,1
89,1,1,1,1,1
87,1,1,1,1,1
88,1,1,1,1,1
85,1,1,1,1,1
86,1,1,1,1,1
84,1,1,1,1,1
78,1,1,1,1,1
76,1,1,1,1,1
83,1,0,1,0,0
82,1,1,1,1,1
81,1,1,1,1,1
77,1,1,1,1,1
80,1,0,0,0,0
79,1,0,1,0,0
74,1,1,1,1,1
55,1,1,1,1,1
64,1,1,1,1,1
75,1,0,1,0,0
73,1,1,1,1,1
70,1,1,1,1,1
66,1,1,1,1,1
56,1,1,1,1,1
69,1,0,0,0,0
68,1,1,1,1,1
67,1,1,1,1,1
65,1,1,1,1,1
62,1,1,1,1,1
61,1,1,1,1,1
63,1,1,1,1,1
60,1,1,1,1,1
45,1,1,1,1,1
71,1,0,0,0,0
46,1,1,1,1,1
72,1,0,0,0,0
51,1,1,1,1,1
57,1,1,1,1,1
32,1,1,1,1,1
39,1,1,1,1,1
33,1,1,1,1,1
53,1,1,1,1,1
59,1,0,0,0,0
30,1,1,1,1,1
21,1,0,0,0,0
50,1,1,1,1,1
58,1,0,0,0,0
48,1,1,1,1,1
41,1,1,1,1,1
42,1,1,1,1,1
18,1,1,1,1,1
54,1,0,0,0,0
25,1,1,1,1,1
43,1,1,1,1,1
34,1,1,1,1,1
47,1,1,1,1,1
7,1,1,1,1,1
23,1,1,1,1,1
37,1,1,1,1,1
17,1,1,1,1,1
6,1,1,1,1,1
3,1,1,1,1,1
40,1,1,1,1,1
44,1,1,1,1,1
24,1,1,1,1,1
8,1,1,1,1,1
52,1,0,0,0,0
28,1,1,1,1,1
36,1,1,1,1,1
26,1,1,1,1,1
49,1,0,1,0,0
38,1,0,0,0,0
12,1,1,1,1,1
31,1,1,1,1,1
35,1,1,1,1,1
20,1,1,1,1,1
19,1,1,1,1,1
4,1,1,1,1,1
27,1,1,1,1,1
1,1,1,1,1,1
10,1,1,1,1,1
29,1,1,1,1,1
14,1,1,1,1,1
15,1,1,1,1,1
13,1,1,1,1,1
9,1,1,1,1,1
22,1,0,0,0,0
5,1,1,1,1,1
16,1,0,1,0,0
11,1,0,0,0,0
2,1,0,0,0,0
91,0,1,1,1,1
92,0,1,1,1,1
93,0,1,1,1,1
94,0,1,1,1,1
95,0,1,1,1,1
96,0,1,1,1,1
97,0,1,1,1,1
98,0,1,1,1,1
99,0,1,1,1,1
100,0,1,1,1,1
101,0,1,1,1,1
102,0,1,1,1,1
103,0,1,1,1,1
104,0,1,1,1,1
105,0,1,1,1,1
106,0,1,1,1,1
107,0,1,1,1,1
109,0,1,1,1,1
110,0,1,1,1,1
111,0,1,1,1,1
112,0,1,1,1,1
114,0,1,1,1,1
115,0,1,1,1,1
116,0,1,1,1,1
117,0,1,1,1,1
118,0,1,1,1,1
119,0,1,1,1,1
120,0,1,1,1,1
121,0,1,1,1,1
122,0,1,1,1,1
123,0,1,1,1,1
124,0,1,1,1,1
125,0,1,1,1,1
126,0,1,1,1,1
127,0,1,1,1,1
128,0,1,1,1,1
129,0,1,1,1,1
130,0,0,1,1,1
131,0,0,1,1,1
132,0,0,1,1,1
133,0,0,1,1,1
134,0,0,1,1,1
135,0,0,1,1,1
136,0,0,1,1,1
137,0,0,1,1,1
138,0,0,1,1,1
139,0,0,1,1,1
140,0,0,1,1,1
141,0,0,1,1,1
142,0,0,1,1,1
143,0,0,1,1,1
144,0,0,1,1,1
145,0,0,1,1,1
146,0,0,1,1,1
147,0,0,1,1,1
148,0,0,1,1,1
149,0,0,1,1,1
150,0,0,1,1,1
151,0,0,1,1,1
152,0,0,1,1,1
153,0,0,1,1,1
154,0,0,1,1,1
155,0,0,1,1,1
156,0,0,1,1,1
157,0,0,1,1,1
158,0,0,1,1,1
159,0,0,1,1,1
160,0,0,1,1,1
161,0,0,1,1,1
162,0,0,1,1,1
163,0,0,0,1,1
164,0,0,0,1,1
165,0,0,0,1,1
166,0,0,0,1,1
167,0,0,0,1,1
168,0,0,0,1,1
169,0,0,0,1,1
170,0,0,0,1,1
171,0,0,0,1,1
172,0,0,0,1,1
173,0,0,0,1,1
174,0,0,0,1,1
175,0,0,0,1,1
176,0,0,0,1,1
177,0,0,0,1,1
178,0,0,0,1,1
179,0,0,0,1,1
180,0,0,0,1,1
181,0,0,0,1,1
182,0,0,0,1,1
183,0,0,0,1,1
184,0,0,0,1,1
185,0,0,0,1,1
186,0,0,0,1,1
187,0,0,0,1,1
188,0,0,0,1,1
189,0,0,0,1,1
190,0,0,0,1,1
191,0,0,0,1,1
192,0,0,0,1,1
193,0,0,0,1,1
194,0,0,0,1,1
195,0,0,0,1,1
196,0,0,0,1,1
197,0,0,0,1,1
198,0,0,0,1,1
199,0,0,0,1,1
200,0,0,0,1,1
201,0,0,0,1,1
202,0,0,0,1,1
203,0,0,0,1,1
204,0,0,0,1,1
205,0,0,0,1,1
206,0,0,0,1,1
207,0,0,0,1,1
208,0,0,0,1,1
209,0,0,0,1,1
210,0,0,0,1,1
211,0,0,0,1,1
212,0,0,0,1,1
213,0,0,0,1,1
214,0,0,0,1,1
215,0,0,0,1,1
216,0,0,0,1,1
217,0,0,0,0,1
218,0,0,0,0,1
219,0,0,0,0,1
220,0,0,0,0,1
