id,user_id,political_orientation,location_code,age_range,sex,zone,education_level,universe,created_at,score,locale,region,region_type,Age Range
1,d351d60b-5592-4d58-8632-aa34fe4b8f07,Neutral,747,4,Male,Urban,UndergradOrMore,52,2022-09-26 09:47:08.494654+00,0.9,en,PR,Region,40-49 years
2,e3428c81-c1a3-4139-9deb-ab2b9aae481d,Liberal,1277,4,Male,Urban,UndergradOrMore,2,2022-09-26 11:46:22.590761+00,0.9,pt,RS,Region,40-49 years
603,248860f8-a008-4207-84fd-a88cdc02e3f1,Liberal,1277,5,Male,Urban,UndergradOrMore,2,2022-10-02 19:00:27.70002+00,0.9,pt,RS,Region,50-59 years
661,f3d2061a-9ffa-4fc2-bf46-f9990b6055ec,Liberal,1277,3,Female,Urban,UndergradOrMore,2,2022-10-10 19:27:41.827811+00,0.9,pt,RS,Region,30-39 years
699,457cc0fc-957a-4984-a685-587b0686d18d,Liberal,1277,4,Male,Urban,UndergradOrMore,52,2022-10-11 14:18:16.502754+00,0.9,pt,RS,Region,40-49 years
738,fc8481a9-7975-43f3-8a76-c054d51e73ea,Conservative,1277,3,Female,Urban,UndergradOrMore,52,2022-10-14 07:53:01.211881+00,0.9,pt,RS,Region,30-39 years
739,fc8481a9-7975-43f3-8a76-c054d51e73ea,Conservative,1277,3,Female,Urban,UndergradOrMore,52,2022-10-14 07:53:02.102989+00,0.9,pt,RS,Region,30-39 years
753,25411fd4-8617-4702-8c60-35ee4a031465,Excluded,1277,3,Male,Urban,UndergradOrMore,52,2022-10-14 13:33:59.534384+00,0.9,pt,RS,Region,30-39 years
772,6f21a9fb-dc87-422e-9e29-e878c9543519,Liberal,1277,2,Female,Urban,LessThanUndergrad,52,2022-10-17 17:23:28.895827+00,0.9,pt,RS,Region,20-29 years
3,efce7581-fa58-4c27-958e-9c316f1bb78f,Liberal,2538,3,Female,Urban,LessThanUndergrad,2,2022-09-27 08:58:14.329532+00,0.9,en,MG,Region,30-39 years
766,7d57d832-47a1-428d-b3ff-99403eef11aa,Conservative,2538,6,Male,Urban,LessThanUndergrad,51,2022-10-16 13:04:14.617492+00,0.9,pt,MG,Region,60-69 years
4,f4ff406c-040c-4aac-b804-d373979a301b,Excluded,5708,99,Excluded,Urban,LessThanUndergrad,2,2022-09-27 10:56:32.868275+00,0.9,pt,PE,Region,Skip
5,3b978429-19a9-4fe1-8afa-7ec5d492c8cf,Liberal,5708,3,Female,Urban,UndergradOrMore,52,2022-09-27 12:35:00.456742+00,0.9,pt,PE,Region,30-39 years
6,7c9ae7a0-fa96-4d51-9092-7aa6dd65c508,Neutral,5708,3,Female,Urban,UndergradOrMore,2,2022-09-27 13:55:53.018179+00,0.9,pt,PE,Region,30-39 years
8,c62f7961-ecc7-465c-b514-d4c94ca45377,Liberal,5708,3,Male,Urban,UndergradOrMore,2,2022-09-27 15:03:01.022088+00,0.9,pt,PE,Region,30-39 years
9,82fba7ee-3411-4f0d-ad7c-0e91d484aa20,Neutral,5708,5,Male,Urban,UndergradOrMore,52,2022-09-27 15:09:56.51716+00,0.9,pt,PE,Region,50-59 years
16,e0e6b1c2-8c9c-404a-8bb4-54466527ef0c,Conservative,5708,4,Male,Urban,LessThanUndergrad,52,2022-09-28 00:00:02.188394+00,0.9,pt,PE,Region,40-49 years
17,e0e6b1c2-8c9c-404a-8bb4-54466527ef0c,Conservative,5708,4,Male,Urban,LessThanUndergrad,52,2022-09-28 00:00:02.827375+00,0.9,pt,PE,Region,40-49 years
18,e0e6b1c2-8c9c-404a-8bb4-54466527ef0c,Conservative,5708,4,Male,Urban,LessThanUndergrad,52,2022-09-28 00:00:03.466143+00,0.9,pt,PE,Region,40-49 years
19,282f79eb-0bd5-4cee-a733-1ef3fd6a5d51,Liberal,5708,2,Male,Urban,LessThanUndergrad,2,2022-09-28 00:00:11.802381+00,0.9,pt,PE,Region,20-29 years
20,189fa68a-40ea-4537-be58-22c13877f9b5,Excluded,5708,3,Female,Urban,LessThanUndergrad,52,2022-09-28 00:00:47.988095+00,0.9,pt,PE,Region,30-39 years
21,baf04316-446b-4f89-a8f4-cb1175e9d7ee,Liberal,5708,4,Male,Urban,LessThanUndergrad,52,2022-09-28 00:01:12.668499+00,0.9,pt,PE,Region,40-49 years
22,e68ce667-a8aa-4c0f-a36a-7506fac3e58d,Liberal,5708,3,Female,Urban,UndergradOrMore,2,2022-09-28 00:01:22.642587+00,0.9,pt,PE,Region,30-39 years
23,4859faee-b2b1-48a5-8f73-1e4c58818c97,Liberal,5708,3,Female,Urban,UndergradOrMore,2,2022-09-28 00:01:38.607272+00,0.9,pt,PE,Region,30-39 years
32,c7f6c5b4-97f8-48a3-a0dc-275ead352d40,Conservative,5708,3,Male,Urban,LessThanUndergrad,2,2022-09-28 00:02:35.615904+00,0.9,pt,PE,Region,30-39 years
33,b1395584-552a-4d8a-8d96-0e9997113bf3,Excluded,5708,2,Male,Urban,LessThanUndergrad,2,2022-09-28 00:02:35.867457+00,0.9,pt,PE,Region,20-29 years
34,7c7618ca-bc4f-4219-991b-dec8a4d2c732,Excluded,5708,3,Female,Urban,LessThanUndergrad,2,2022-09-28 00:02:39.708645+00,0.9,pt,PE,Region,30-39 years
35,b326e1f8-a224-42d4-a0d3-a03d8d3a7a92,Excluded,5708,2,Female,Excluded,LessThanUndergrad,52,2022-09-28 00:03:08.427713+00,0.9,pt,PE,Region,20-29 years
36,88bf7e84-d2cc-419d-8307-a0dfe8e094cc,Liberal,5708,4,Female,Urban,LessThanUndergrad,2,2022-09-28 00:03:10.740424+00,0.9,pt,PE,Region,40-49 years
37,d14ae4ea-2e62-47b2-9605-5d7c6febbc70,Conservative,5708,3,Male,Urban,LessThanUndergrad,2,2022-09-28 00:03:27.176893+00,0.9,pt,PE,Region,30-39 years
38,26f9beff-c2d7-44f6-bae6-8b0c1efd60f0,Conservative,5708,1,Male,Urban,LessThanUndergrad,52,2022-09-28 00:03:32.968338+00,0.9,pt,PE,Region,10-19 years
39,d6c1bfcb-b7af-4f00-b5d0-b20703effe55,Conservative,5708,3,Male,Urban,LessThanUndergrad,52,2022-09-28 00:03:35.606287+00,0.9,pt,PE,Region,30-39 years
40,d15532d1-a33a-4f23-853f-7ea253f696ac,Neutral,5708,2,Female,Urban,LessThanUndergrad,52,2022-09-28 00:03:36.158152+00,0.9,pt,PE,Region,20-29 years
41,fa00641d-2471-4362-8b9d-75546cff43a0,Conservative,5708,2,Male,Urban,LessThanUndergrad,2,2022-09-28 00:03:39.667082+00,0.9,pt,PE,Region,20-29 years
44,4b71598c-2641-4e11-abf5-a0ff61d486cb,Conservative,5708,4,Female,Urban,UndergradOrMore,2,2022-09-28 00:03:56.39889+00,0.9,pt,PE,Region,40-49 years
45,48aec198-7acf-49b7-9e93-d9693bba21f8,Conservative,5708,4,Female,Urban,UndergradOrMore,2,2022-09-28 00:04:18.586125+00,0.9,pt,PE,Region,40-49 years
