uuid,z1,z2
000057c7-295c-4a61-8f62-76aff62bf079,0.39347398,0.61695
000059b8-10b9-4f74-9c01-80bd2c48f509,0.72339815,0.115698665
00032199-2183-48c0-8f0d-ac37dc8ece60,0.9072363,0.5833584
000629ba-44c0-47c1-b2b2-abe4f0ee808f,0.7757764,0.4690779
0006b923-77a6-40c1-95e0-f98b817bcab2,0.46417436,0.45851865
00074ccc-d62f-4624-8051-0458334262f5,0.4831643,0.26693448
0008fd2e-e3bd-4d79-9109-2c92a3bc0095,0.72014767,0.4516663
00097f0b-7b32-4962-9780-1ca10ece1571,0.6479798,0.6513595
000acf55-2412-40e3-9e9a-bb053f07b172,0.778408,0.6583049
0010a36f-ae1e-49b9-90b4-be4add62a4eb,0.24159338,0.43103915
00116881-6975-418b-b30e-951bea3a5d33,0.9117932,0.5802803
00128972-f328-4aab-8c81-fd3434b39d40,0.7464588,0.36758536
0013eee1-33f6-4685-a699-c474c77a59fc,0.43249053,0.2674788
0014904c-0a4f-4d69-b64b-fe7cb8d363e5,0.8145704,0.59314126
0018aaa8-6ff1-47eb-8799-266f3b3bcbf4,0.79973674,0.736049
001964e6-da55-45d7-9b62-31c61b441147,0.26504257,0.25684524
0019afe7-03fc-40b2-a8f1-6216c2943613,0.82114255,0.53488165
001b4613-e77c-4ec9-9f1f-317af2e1cbd4,0.37216088,0.21014172
001bba39-04ad-4863-91f3-e935f1d2855a,0.528083,0.30621627
001c4f62-fbfc-4ab7-a54e-6e64c8e8f002,0.73480785,0.5974968
001e5c67-2eaf-4a0e-b8cc-8110fcdce827,0.9048073,0.5859942
001ec6cb-4984-41f2-8a42-2e0ff121095a,0.6095214,0.055501763
001f7962-b931-40d0-9184-4ca57d156542,0.55604523,0.2793666
0021984f-83f5-46fe-a7f8-27b3ec1bc727,0.7954405,0.19229881
00226ddc-d9e3-4238-a491-cb9050804f9d,0.75491697,0.86672986
0026963e-08bb-4596-b713-9bc2d24a6647,0.70244217,0.5603479
0029f5b6-8ee2-4247-8a02-e1ff88e55430,0.8709256,0.6619979
002cc542-685a-4cfc-9a01-7d3a64a410c5,0.21011794,0.35268444
002e2ce4-38e2-48da-a671-71971ede544b,0.79666686,0.7819678
002ed813-0c3c-4604-9f1a-aeb9519a577a,0.7244638,0.11392874
0030ca94-70cb-41ab-9def-6bc99d4e0ec0,0.7211748,0.32126948
00314733-832b-47cf-a762-933d4ab41927,0.9087983,0.48953173
0033b5a3-e1d1-4924-afe1-f35d27d5a0d6,0.5871821,0.7439592
0035959e-d224-4e95-b26f-493fd941785f,0.79877824,0.40562198
00361499-2059-4adf-b12d-58cf154b7db0,0.69242674,0.3137936
003618a1-9ee3-4a02-a1c4-e76d18e0daf0,0.61039454,0.5246309
00387cbb-b231-40f7-8d61-bcd968f8318d,0.89395416,0.6772232
0039288d-487e-405b-8fbc-bf4355628592,0.43675756,0.47474864
003b5935-5def-4525-b5d7-e5b5c623f486,0.7958328,0.17157541
003f8f72-28d2-4abf-8e1a-78be45f138ed,0.79783154,0.514272
