option_id,z1,z2
1,0.49794254,0.50507706
2,0.50187176,0.5095035
3,0.5004305,0.5045535
4,0.50440335,0.5024362
5,0.5034361,0.5007113
6,0.49904954,0.50237215
7,0.49703443,0.4963385
8,0.49799082,0.5014338
9,0.4989207,0.49988085
10,0.5013967,0.5013299
11,0.4994414,0.50038
12,0.5009094,0.50745034
13,0.502933,0.5038745
14,0.5000524,0.4962398
15,0.49777904,0.4988514
16,0.4990155,0.5007405
17,0.50286555,0.49909246
18,0.49989676,0.5021299
19,0.49863607,0.5005873
20,0.49949986,0.49837157
21,0.4992502,0.50352037
22,0.49992844,0.4977723
23,0.5027484,0.49857935
24,0.50385433,0.49926502
25,0.4995462,0.49656168
26,0.49904913,0.5011267
27,0.49991745,0.49809763
28,0.49938783,0.50401425
29,0.49930382,0.49716973
30,0.4972555,0.5014694
31,0.4983877,0.50098026
32,0.49806562,0.49803782
33,0.49477974,0.49957424
34,0.49793908,0.5034449
35,0.4980538,0.49765718
36,0.5016739,0.4967291
37,0.4989449,0.5017958
38,0.5009392,0.50264096
39,0.50287664,0.5019625
40,0.4958412,0.50130594
41,0.5008893,0.4995189
42,0.500504,0.5003764
43,0.500134,0.5031139
44,0.5031129,0.49637973
45,0.5036569,0.49370158
46,0.49820822,0.49759227
47,0.4994516,0.49818295
48,0.5009106,0.49873185
49,0.5003133,0.4986458
50,0.50059205,0.49712405
51,0.49561068,0.50162315
52,0.50465083,0.5017603
53,0.50099665,0.49629974
54,0.50378305,0.5002709
55,0.4943123,0.50122374
56,0.49861953,0.504398
57,0.49718615,0.50028604
58,0.50407636,0.49942955
59,0.49967027,0.4939194
60,0.4997937,0.49963266
61,0.5040469,0.49910274
62,0.49813986,0.5024626
63,0.50080675,0.50072545
64,0.4997565,0.5022694
65,0.5011474,0.5025504
66,0.5025735,0.5014613
67,0.50272906,0.4990538
68,0.50154287,0.49860504
69,0.49993715,0.4962495
70,0.5043015,0.5018624
71,0.5028349,0.50097024
72,0.4951051,0.5027931
73,0.5018222,0.5000079
74,0.50126183,0.49843404
75,0.49876603,0.4968387
76,0.49671414,0.4998559
77,0.5015278,0.49849376
78,0.50006,0.49981385
79,0.49851993,0.5032588
80,0.49864122,0.4986149
81,0.4959841,0.5010416
82,0.49808097,0.5008827
83,0.5018641,0.4997423
84,0.49926373,0.49709564
85,0.49927688,0.5000526
86,0.50293857,0.5042294
87,0.49415356,0.5002363
88,0.50279117,0.5002059
89,0.50112283,0.50183237
90,0.49793908,0.5039812
