option_id,z1,z2
1,0.48792082,0.43485412
2,0.47505075,0.9189603
3,0.71462816,0.5044502
4,0.70134544,0.3278308
5,0.33047235,0.70744777
6,0.14840738,0.27994668
7,0.23851365,0.60669476
8,0.26704293,0.6626334
9,0.38292557,0.357302
10,0.61306244,0.6231058
11,0.46879405,0.115755714
12,0.3718093,0.4556012
13,0.48888624,0.5813946
14,0.48865575,0.6362981
15,0.47799242,0.31858018
16,0.46403483,0.73716736
17,0.69408506,0.5288127
18,0.3143106,0.5587136
19,0.5556057,0.61474097
20,0.33786568,0.64820516
21,0.32816514,0.55046624
22,0.60799944,0.19938941
23,0.90268844,0.23828678
24,0.4881355,0.5382139
25,0.73697805,0.5290069
26,0.67545086,0.32876247
27,0.3663497,0.29452652
28,0.47270414,0.5922231
29,0.50281763,0.3142514
30,0.2492155,0.6204902
31,0.6817271,0.31323653
32,0.27916464,0.4079698
33,0.250057,0.39530995
34,0.39679238,0.6343908
35,0.40862396,0.28988224
36,0.63413733,0.65414965
37,0.23160909,0.29204917
38,0.4270747,0.26712337
39,0.7183918,0.6121922
40,0.7026286,0.3089122
41,0.23683275,0.30202794
42,0.5692278,0.52900904
43,0.573341,0.4458875
44,0.41651273,0.32480332
45,0.7542359,0.6273677
46,0.6889507,0.5959566
47,0.7363881,0.72340596
48,0.65016824,0.6148227
49,0.4887081,0.041415133
50,0.6177304,0.62252796
51,0.37733704,0.53779805
52,0.2671147,0.8203779
53,0.560269,0.44701734
54,0.5805842,0.61965245
55,0.24630882,0.4218246
56,0.27828193,0.557445
57,0.77342635,0.29563344
58,0.6972161,0.30062884
59,0.23964638,0.3060956
60,0.26929697,0.6479843
61,0.30395553,0.5801992
62,0.33735526,0.6059751
63,0.30167043,0.6154689
64,0.72554314,0.60694915
65,0.37406823,0.64036936
66,0.6828822,0.60599804
67,0.69367033,0.38343897
68,0.35926962,0.59932816
69,0.44067517,0.6071811
70,0.33196622,0.60049105
71,0.61399823,0.7390982
72,0.47838038,0.81100196
73,0.6915313,0.3632797
74,0.705962,0.34447196
75,0.31672338,0.36786819
76,0.6673869,0.53798693
77,0.4114574,0.38708133
78,0.7523053,0.67036146
79,0.41335103,0.72547984
80,0.48352164,0.034516428
81,0.35422093,0.28486457
82,0.3807036,0.33594832
83,0.67521584,0.79757446
84,0.41116306,0.41839626
85,0.7543204,0.39828038
86,0.32190514,0.38838005
87,0.3197012,0.5392465
88,0.7274774,0.3098285
89,0.40049204,0.5258039
90,0.29925078,0.43336475
