id,user_id,politica,location,age,sex,zone,education,universe,created_at,score,locale,region
1,d351d60b-5592-4d58-8632-aa34fe4b8f07,3,747,4,2,1,7,52,2022-09-26 09:47:08.494654+00,0.9,en,PR
2,e3428c81-c1a3-4139-9deb-ab2b9aae481d,1,1277,4,2,1,7,2,2022-09-26 11:46:22.590761+00,0.9,pt,RS
603,248860f8-a008-4207-84fd-a88cdc02e3f1,2,1277,5,2,1,7,2,2022-10-02 19:00:27.70002+00,0.9,pt,RS
661,f3d2061a-9ffa-4fc2-bf46-f9990b6055ec,2,1277,3,1,1,6,2,2022-10-10 19:27:41.827811+00,0.9,pt,RS
699,457cc0fc-957a-4984-a685-587b0686d18d,2,1277,4,2,1,7,52,2022-10-11 14:18:16.502754+00,0.9,pt,RS
738,fc8481a9-7975-43f3-8a76-c054d51e73ea,5,1277,3,1,1,5,52,2022-10-14 07:53:01.211881+00,0.9,pt,RS
739,fc8481a9-7975-43f3-8a76-c054d51e73ea,5,1277,3,1,1,5,52,2022-10-14 07:53:02.102989+00,0.9,pt,RS
753,25411fd4-8617-4702-8c60-35ee4a031465,99,1277,3,2,1,5,52,2022-10-14 13:33:59.534384+00,0.9,pt,RS
772,6f21a9fb-dc87-422e-9e29-e878c9543519,2,1277,2,1,1,3,52,2022-10-17 17:23:28.895827+00,0.9,pt,RS
3,efce7581-fa58-4c27-958e-9c316f1bb78f,2,2538,3,1,1,2,2,2022-09-27 08:58:14.329532+00,0.9,en,MG
766,7d57d832-47a1-428d-b3ff-99403eef11aa,5,2538,6,2,1,1,51,2022-10-16 13:04:14.617492+00,0.9,pt,MG
4,f4ff406c-040c-4aac-b804-d373979a301b,99,5708,99,99,1,3,2,2022-09-27 10:56:32.868275+00,0.9,pt,PE
5,3b978429-19a9-4fe1-8afa-7ec5d492c8cf,1,5708,3,1,1,7,52,2022-09-27 12:35:00.456742+00,0.9,pt,PE
6,7c9ae7a0-fa96-4d51-9092-7aa6dd65c508,3,5708,3,1,1,7,2,2022-09-27 13:55:53.018179+00,0.9,pt,PE
