id,user_id,politica,location,age,sex,zone,education,universe,created_at,score,locale
51,e9001e65-7aa1-468d-a7c6-dca4ad023e59,2,31,2,1,1,7,4,2022-03-28 21:16:21.082454+00,0.9,en
52,539b2141-4d8a-4ff0-890a-beac65df93b7,1,75,5,99,1,7,6,2022-03-29 06:25:43.333616+00,0.9,fr
53,41e3bf3a-e792-4521-8d3a-8f974f329345,1,31,2,1,1,6,5,2022-03-29 07:23:43.014274+00,0.9,en
54,15be6313-14d6-4f79-87a3-3ed2478e01ac,3,31,3,1,1,6,5,2022-03-29 07:59:00.203618+00,0.9,fr
55,b17d8333-6601-4690-833b-a098f1056d76,3,31,2,2,1,6,5,2022-03-29 08:05:05.5878+00,0.9,en
56,15be6313-14d6-4f79-87a3-3ed2478e01ac,3,31,3,1,1,6,5,2022-03-29 08:29:07.511422+00,0.9,fr
57,46de1209-8ca2-45bd-919e-d5835a9c5a95,3,31,5,1,1,7,6,2022-03-29 08:55:23.496954+00,0.9,fr
58,59221769-bf8c-4a7e-945a-89618743efdb,99,31,4,99,1,6,6,2022-03-29 09:01:20.457955+00,0.9,fr
59,a664ff56-e303-4ab5-8841-bc950222e75f,1,31,3,1,2,7,6,2022-03-29 09:05:45.88035+00,0.9,fr
60,7490cb32-18ba-4572-9310-c0c3801438d0,5,31,2,2,1,6,4,2022-03-29 09:06:48.160335+00,0.9,fr
61,fecf3440-84f3-4bcb-b2c4-f6c939d80ec7,1,31,2,1,1,6,4,2022-03-29 09:06:58.129506+00,0.9,fr
62,883ed508-c44f-44cc-a5a6-8f55eed802d0,3,31,3,1,1,6,4,2022-03-29 09:09:07.005978+00,0.9,fr
63,1bdf8b87-c4cd-45cf-b408-6e2a700de9af,3,31,4,2,1,6,6,2022-03-29 09:09:50.986177+00,0.9,fr
64,049e4da5-c898-4f88-9410-8dbe8750419a,99,93,3,1,1,6,6,2022-03-29 09:12:21.032715+00,0.9,fr
65,8aad6aa4-5400-4d13-93f7-155ff7f1606b,3,31,2,2,1,7,6,2022-03-29 09:14:27.995818+00,0.9,fr
66,07662e5c-b6d3-42c5-8ed4-34a3fb5509b2,3,11,5,1,1,7,5,2022-03-29 09:30:20.962856+00,0.9,fr
67,4ce815b0-e0a9-41ed-a3e0-d2b5abad3b0d,99,999,2,99,1,6,5,2022-03-29 09:31:00.528556+00,0.9,fr
68,8ea391d3-b90b-42a2-9e30-10f0a0d64d7b,2,31,2,1,1,5,5,2022-03-29 09:31:24.657342+00,0.9,fr
69,8d83435e-1484-4047-bea1-3621406e510e,3,31,2,2,1,6,5,2022-03-29 09:33:36.773699+00,0.9,fr
70,5bf33bda-4a05-4081-8cb7-18f416d29d65,1,31,5,2,1,7,5,2022-03-29 09:34:23.597564+00,0.9,fr
71,2b353f8f-8ea4-46e7-a13d-2f7caf8e7d99,1,31,2,2,1,6,5,2022-03-29 09:39:22.798661+00,0.9,fr
72,59b9e265-2ac2-47fa-981a-4f8b3fb7d3a4,2,66,5,1,1,7,5,2022-03-29 09:39:53.344487+00,0.9,fr
73,05c18e6a-e170-41b2-8309-42db74a9c3a6,3,3,4,99,1,3,4,2022-03-29 09:41:27.435592+00,0.9,fr
74,15be6313-14d6-4f79-87a3-3ed2478e01ac,3,31,3,1,1,6,5,2022-03-29 09:43:04.536345+00,0.9,fr
75,58ba8878-feaa-485f-b761-1fa5ffe8e605,1,75,2,2,1,5,6,2022-03-29 09:46:28.758217+00,0.9,fr
76,fa2430de-870f-4205-95d8-2e2b2bb6b254,99,31,6,2,1,7,6,2022-03-29 09:49:27.365038+00,0.9,fr
77,21b2788c-9ad2-4225-87bf-617a1c4d5ba4,1,31,2,1,1,7,6,2022-03-29 09:51:44.911956+00,0.9,fr
78,392d4772-a3f0-4ea2-808b-4bac3b63f35c,5,31,2,2,1,7,4,2022-03-29 09:53:16.008301+00,0.9,fr
79,b977aaef-2e9d-44a3-ad49-cc01ff9ada9e,99,64,2,2,2,6,4,2022-03-29 09:53:57.144423+00,0.9,fr
80,33fedeb0-ab40-46a3-bea1-00075ca32fbf,1,31,3,2,1,7,6,2022-03-29 09:57:21.016922+00,0.9,fr
82,5140efe5-0001-44bc-830c-97d532357cec,99,91,2,2,1,7,6,2022-03-29 10:11:01.848054+00,0.9,fr
83,679d1eb0-c464-434a-951b-6b7a521047c5,99,75,2,2,1,6,5,2022-03-29 10:11:08.980189+00,0.9,fr
