id,uuid,ip_hash,sex,age,region,politica,datetime,score,zone
1,0fe66628-4898-4089-9609-acb5dc9b0a13,5b1e8c3206b4b82a2cce88ba205166e643114559165257b92c68d5ed63744a23d2817317bfa9e6bd58c29146fe33e5a5354d53cbc379f7cc0d1ece067c1d7a52,Masculino,21,Cundinamarca,10,2019-12-02 13:32:36.595545-05,,
2,78173aa8-7466-4a79-8cc1-69efba6f291b,8ea56d0aa392520e01a0f66a0a646d27ec715f4ae510906170575d73f18d4d112dd5cc4ac746caa9ac59c6384c9d771c0b2f663e10eb252c578aca9fd14e8b6d,Femenino,40,Bogotá D.C.,1,2019-12-02 15:24:59.384992-05,,
3,a69e50e5-1d6c-4297-8810-5464ef0f3888,8ea56d0aa392520e01a0f66a0a646d27ec715f4ae510906170575d73f18d4d112dd5cc4ac746caa9ac59c6384c9d771c0b2f663e10eb252c578aca9fd14e8b6d,Femenino,40,Bogotá D.C.,1,2019-12-02 15:29:43.755597-05,,
4,abb9a8b6-fc43-4ed0-b060-018eebe1a1f0,a66aae3d947984f8039854e730420b102dff7146db7c88512469d46bb207d2fc690e1f35b6b646f823d84f93e92e6fdddb60ddb0c3a03445ddb3936cdc744226,Masculino,32,Guainía,7,2019-12-02 18:55:34.738417-05,,
5,df7d8a49-f4a0-4baf-a8eb-b5b993b98e10,8a055b4a02fe51a0f21bde2ba5b7848224d86c0ac8b66b4f06a10b16a353eb220c9be9ac6f41f11237084e54d2e8705b5c924ebe266882ef7a08aca2a4efc755,Masculino,24,Antioquia,2,2019-12-03 03:15:31.935234-05,,
6,3b7c2def-abf4-4389-8a92-41a8852f6d5c,e0ef0061f7f4070a27fc1d9f9ecc29002d9ecfbe9aab577f39d3e9b615f1dbf71864b7246149ed5babcd8c46f48a1f834c18d80fe708d0c2fa2cebfd62559c08,Masculino,24,Bolívar,5,2019-12-03 09:40:19.129639-05,,
7,e24975a6-d5df-4acf-b82d-8702783fc891,e0ef0061f7f4070a27fc1d9f9ecc29002d9ecfbe9aab577f39d3e9b615f1dbf71864b7246149ed5babcd8c46f48a1f834c18d80fe708d0c2fa2cebfd62559c08,Masculino,24,Bogotá D.C.,5,2019-12-03 10:13:38.907746-05,,
8,3531e249-938f-4eef-945a-41bcbe64bd15,f43dca80ffbf4f906023d0866d30665a36ace8af8b4f7c213bc913b1def6e36de5f7abfc72c07a0e32c357591c3ca06bea3fbaf46cd76a12d1348a5d7eb6667c,Femenino,47,Bogotá D.C.,5,2019-12-03 10:34:03.483601-05,,
9,7e12a24a-6e88-44ad-8067-da6ade96a82b,388d56d05cbb186b359d9531b58f2b131216c1ab3d67ccc697a2b77a11053d0bbc74e334f2030aa4a7f16ec51e2c823c638915dd992b65483d30c85ae87b0c4b,Masculino,32,Bogotá D.C.,3,2019-12-03 10:41:21.087821-05,,
10,b52adda8-04b1-40ff-9ce0-8a26988d2648,3bfa71a0a1449c5b9c019fb043b9743adc2b3350ae609c45c0c1adaa12e2f542a75128f04bdca6070f0b3997a2cf13b6aa19d00387db7371520fa252bea96320,Masculino,40,Bogotá D.C.,3,2019-12-03 10:42:38.756145-05,,
