id,uuid,ip_hash,sex,age,region,politica,datetime,score
1,093c15d9-fbe5-4f0e-b8e9-a15ad2481e41,ecd8e333350b4b00e6ffdf4fe111b00ca290b817549f8ee8d298a1751fd8a1abb6a949f01da67e42528a22d0fd1ea9b8ad3da3001b79312db4ff4c664e128e38,Female,26,Mount Lebanon,5,2019-11-16 17:36:41.035127-03,
2,4f080f81-d4dd-4e61-8de4-f19db3dcf219,39afab988f95006df5daeca2fc8966cdeb4e2ef0da4482be0279219990e2b38c3b0f63ca8a20e12993376389aea77431c8299fe632f0ba4649ae7733d1466a79,Male,28,Lebanese diaspora,5,2019-11-16 17:53:37.076868-03,
3,093c15d9-fbe5-4f0e-b8e9-a15ad2481e41,ecd8e333350b4b00e6ffdf4fe111b00ca290b817549f8ee8d298a1751fd8a1abb6a949f01da67e42528a22d0fd1ea9b8ad3da3001b79312db4ff4c664e128e38,Female,26,Mount Lebanon,5,2019-11-16 18:18:16.31153-03,
4,7850b511-1153-4a6b-ac9b-ce027c597be1,aaffc65c45bf3f8c40cec7a3ab3982d9394221ca063c8452152c5b32580634d52e315ee4289bd6bf03c732c591f2cb0712b95eab1fb5fa10d20068596508ed4d,Male,23,Beirut,5,2019-11-16 18:22:20.562307-03,
5,48e273ef-7849-435e-9be0-26586efa9820,530bf52ac025475bc5469c4adedbb4325e42b5fcbc6fe39a3f25164a7a4614a33de2fb1f00606b10ea10019f168df1f2ff74714a4b98bb523b5ed96d6c1e1655,Male,29,Lebanese diaspora,5,2019-11-16 18:24:01.021014-03,
6,07b8deaf-fe85-40fd-b02d-6ebc30e77d0a,f84b8a54b4b14d36bb0613f52468fdcb470a99faa93f179dac1ccadf081e03da24dce90492dcd165ccd68c7bda8f80ac65e79667f6845541b3829da6e464d408,Female,31,Lebanese diaspora,5,2019-11-16 18:24:55.302875-03,
7,5b52dc4f-e131-4718-8634-84d480deb26f,5623a55c98295ce45f330a6986c82211c67a678f151b05fe6ef62a3359a843887d60422f6721996ffafc114872efb2cb10590228cdb31cf33378ebbf0ff84d2d,Female,25,Mount Lebanon,5,2019-11-16 18:39:10.428263-03,
8,ac6d1c36-567a-4378-b028-e03b981a6f42,ac980c13861a06a36719c5b948fde5911ffb2209f68f963d3a00a2894218a885e28cccc2cdbbe5cdf7a4a98e08206447cba9714a69903202bfa50f32ac433d33,Male,27,Lebanese diaspora,5,2019-11-16 19:13:40.285432-03,
9,de64a8ec-38c4-4f2c-8bf4-baa9a7930ba3,cedc3dcee323890144b681c2cb4ad9b07e5feba36abe7175e1f8941be4a4a9755f57fb869031b70d524f58275aebbeee5901db423bed1ce1bfe15a198d78f1da,Male,35,Akkar,5,2019-11-16 19:15:37.31356-03,
10,de64a8ec-38c4-4f2c-8bf4-baa9a7930ba3,cedc3dcee323890144b681c2cb4ad9b07e5feba36abe7175e1f8941be4a4a9755f57fb869031b70d524f58275aebbeee5901db423bed1ce1bfe15a198d78f1da,Male,35,Akkar,5,2019-11-16 19:15:37.391639-03,
11,08c6c72e-50fe-44fd-8092-05b331d51d0c,3fb6cb6ce603a516445407625cbe8e0ccba58c4bdb67776560719f170b981f6169954c45d48f13768bea9f95c31d1861122739685543c3ed60787925cb3090a4,Male,26,Mount Lebanon,5,2019-11-16 19:23:47.360567-03,
12,95a69ace-e9fc-4aef-94a4-a4c2d60c1087,83e1a31b11cbe310498d1c9b45875fc18fa5154d72e692cc95fbfdbec7f4921aca41087d04891e47665f8f177bfe9ba6f07a00bc0d637041d8373615a75da108,Male,25,Akkar,5,2019-11-16 19:32:44.936299-03,
13,96a5a08d-5906-4ab2-8599-bfe26ee32599,96a54a083a590becd97e9d0b23266a3f2a3b556837a06b501ec2b4b7396dca749681df54dd0aa98a469fedb9fe58abe51593696ce7ab8e69fd1cc25622c627e0,Male,25,Beirut,5,2019-11-16 19:39:51.351814-03,
14,4b516c38-51bb-4384-88b2-2100c0f44ea4,2f352a0520875e9f662d94d320d741c95f0c1d884da99590559d045784d9c1fea567f63e8de4fef2c98b9c922925bc097e61c81a07eaa9e7a0cdb4e0521d8a84,Male,29,Akkar,5,2019-11-16 19:55:10.677625-03,
15,c30bbc53-2d45-41e1-90f8-841692627a9f,a79e555a7a08291a570cea80f4a4a533f7add8d13556ebc71963d6f036939d13f5fbcea70046a44b9ba3ffdaf0562a1dfdf3e2d035875f22908946e65929659d,Female,30,Akkar,5,2019-11-16 20:05:12.01116-03,
16,d025eb78-5512-449f-90a4-16a16ccb149f,242f8404c88e9a7cb038e4dc781a5ac6b1ec94045081901abc5a09f9fd9aed195fc53b15583f2ecdbe86af67e3a0e81c31bde1ed0b6941d181195f9e47eec1d8,Male,25,Mount Lebanon,5,2019-11-16 20:08:02.818838-03,
17,d025eb78-5512-449f-90a4-16a16ccb149f,242f8404c88e9a7cb038e4dc781a5ac6b1ec94045081901abc5a09f9fd9aed195fc53b15583f2ecdbe86af67e3a0e81c31bde1ed0b6941d181195f9e47eec1d8,Male,25,Mount Lebanon,5,2019-11-16 20:08:02.856818-03,
18,78a86199-68e8-4a9c-8bad-55abe77dbda3,242f8404c88e9a7cb038e4dc781a5ac6b1ec94045081901abc5a09f9fd9aed195fc53b15583f2ecdbe86af67e3a0e81c31bde1ed0b6941d181195f9e47eec1d8,Female,26,Beirut,5,2019-11-16 20:09:16.411949-03,
19,b96d8a0b-dec8-423e-b851-3d679e238402,15dd9a634a4e5b291cf407e94bb40b6fec139e6a438394f28e4f256c5c3c8a00755507829f2a1263c64f9ddb9b94188bfe3ac2451b8ceeca6f9857507f678ef2,Male,36,Beirut,5,2019-11-16 20:30:27.305159-03,
20,85d456e0-e515-4eb2-bda5-3e6c16b7134c,b71f75792e774fbabdd5998aae8675cb74fc4925c84a997ffaadb83dbbf272ebb41c2d487c38006576e80d0690bb00f20e56e8c8bd5506e1ef4df5d699675b2d,Female,38,Beirut,5,2019-11-16 20:35:55.177272-03,
21,cccc948f-e05a-4604-b660-e8de12687a43,f24fae6b35b30881e20f1e970e97455d46705f4aad9a93857001dab25bfb80aa4f9a859f9580b222f2825d9fa9a280dab563a42ebd67bf65e5d22be4dd41edfe,Male,25,Mount Lebanon,5,2019-11-16 20:37:07.014774-03,
