active	constitution	description	db_id	locale	name	id	short_name	subtopic	topic_id	topic_name	tweet
1			24	es	"Fomentar el aprendizaje de ciencia	 tecnología y programación desde el colegio"	24	Ciencia y programación escuelas		3	Educación	
1			29	es	Destinar los recursos faltantes para financiar el derecho a la educación básica primaria y secundaria	29	Recursos educación básica		3	Educación	
1			55	es	"Respetar las opiniones expresadas en consultas previas sobre minería	 fracking	 deforestación y cuidado de recursos hídricos"	55	Participación ciudadana en energía-minería		5	Medio ambiente	
1			2	es	Cumplir con la creación de un fondo de tierras para campesinos sin tierra o con tierra insuficiente 	2	Fondo campesinos sin tierra		1	Agricultura	
1			12	es	"Privatización de Ecopetrol	 ISA	 CENIT	 electrificadoras regionales y todas las empresas donde la participación del estado sea inferior al 50%"	12	Privatizaciones		2	Economía	
1			19	es	Renegociar los Tratados de Libre Comercio (TLC) con el fin de proteger la producción nacional y el agro colombiano	19	Renegociar TLC		2	Economía	
1			17	es	Derogar el impuesto o “tarifazo nacional” para financiar Electricaribe	17	Financiar Electricaribe		2	Economía	
1			60	es	Implementar planes para fomentar la economía familiar y solidaria	60	Fomento economía familiar y solidaria		6	Paz y proceso de paz	
1			1	es	"Efectivizar la asistencia técnica	 tecnológica y en investigación al sector agrario"	1	Asistencia técnica agro		1	Agricultura	
1			3	es	Creación de un plan masivo de formalización de la propiedad para campesinos	3	Formalización de tierras campesinos		1	Agricultura	
1			4	es	Facilitar la comercialización de los productos campesinos al acercar al productor con el consumidor	4	Comercialización productos campesinos		1	Agricultura	
1			5	es	"Priorizar planes nacionales en regiones más afectadas por el conflicto	 con mayor pobreza y menos institucionalidad"	5	Priorizar regiones afectadas por conflicto		1	Agricultura	
1			6	es	Garantizar el acceso al crédito para los campesinos	6	Crédito campesinos		1	Agricultura	
1			7	es	Ofrecer garantías de seguridad social para los trabajadores del campo	7	Seguridad social campesinos		1	Agricultura	
1			8	es	"Implementar planes nacionales para proveer vías terciarias	 distritos de riego y drenaje	 electrificación y conectividad a internet en zonas rurales"	8	Infraestructura zonas rurales		1	Agricultura	
1			9	es	Progresividad en los impuestos a ciudadanos y empresas	9	Progresividad en impuestos		2	Economía	
1			10	es	Aumentar el salario mínimo por encima de la inflación	10	Salario mínimo		2	Economía	
1			11	es	"Creación del Grupo Bicentenario	 un grupo financiero estatal que agrupará a las empresas del Estado que prestan servicios financieros"	11	Grupo Bicentenario		2	Economía	
1			13	es	Cumplimiento del acuerdo política de desarrollo agrario integral	13	Desarrollo agrerio integral		1	Agricultura	
1			14	es	Reducir la carga tributaria empresarial	14	Reducir carga tributaria empresarial		2	Economía	
1			15	es	Implementar tres días al año sin IVA	15	Tres días sin IVA		2	Economía	
1			16	es	Devolución del 100% del IVA para las familias más vulnerables	16	Devolución de IVA		2	Economía	
1			18	es	Brindar beneficios a empresas o personas que inviertan en zonas de conflicto y post-conflicto	18	Inversión en zonas de conflicto		2	Economía	
1			20	es	"Diseñar política para proteger a las empresas públicas	 evitando su venta	 fomentado su desarrollo y manejo eficiente de recursos"	20	Proteger empresas públicas		2	Economía	
1			21	es	Cumplimiento de los compromisos que adquirió el gobierno con los estudiantes de educación superior	21	Compromisos educación superior		3	Educación	
1			22	es	Garantizar la financiación y sostenibilidad de la educación pública superior	22	Financiación educación superior		3	Educación	
1			23	es	Garantizar el acceso a internet en todas las instituciones educativas públicas del país	23	Internet escuelas		3	Educación	
1			25	es	Aumentar el número de escuelas con jornada única	25	Jornada única colegios		3	Educación	
1			26	es	Creación de la Superintendencia de Educación para luchar contra la corrupción en el sector educativo	26	Superintendencia contra corrupción		3	Educación	
1			27	es	"Creación de un sistema de educación superior pública gratuito	 de calidad	 excelencia	 universal	 e innovativo"	27	Educación superior pública y gratuita		3	Educación	
1			32	es	Mejorar y ampliar programas de becas para estudios universitarios	32	Becas universidades		3	Educación	
1			33	es	Presupuestos participativos en la Universidades Públicas	33	Presupuestos participativos universidades		3	Educación	
1			35	es	Ratificación de la Declaración de Derechos Humanos del Campesinado por parte del Estado Colombiano	35	Derechos Humanos Campesinado		4	Justicia y derechos civiles	
1			36	es	Garantizar el derecho a la protesta social	36	Protesta social		4	Justicia y derechos civiles	
1			38	es	Cumplimiento del acuerdo firmado entre la Minga Indígena y el Gobierno	38	Acuerdo Minga Indígena		4	Justicia y derechos civiles	
1			39	es	Facilitar la migración con sentido humanitario	39	Migración con sentido humanitario		4	Justicia y derechos civiles	
1			40	es	Reforma a la justicia para hacerla eficiente	40	Reforma justicia		4	Justicia y derechos civiles	
1			80	es	Fortalecer la lucha contra el lavado de activos en todos los sectores de la economía	80	Lavado de activos		8	Seguridad ciudadana y defensa	
1			41	es	Reestructurar el sistema penitenciario para garantizar los derechos fundamentales de los reclusos y la reincorporación social efectiva	41	Restructuración sistema penal		4	Justicia y derechos civiles	
1			42	es	Legalización del uso recreativo de la marihuana	42	Marihuana recreativa		4	Justicia y derechos civiles	
1			43	es	Hacer vinculantes las concertaciones con la sociedad civil de los Planes de Ordenamiento Territorial (POT) en los entes territoriales	43	POT vinculantes		4	Justicia y derechos civiles	
1			44	es	Garantizar el derecho al agua y mejorar el cuidado de recursos hídricos	44	Derecho al agua		5	Medio ambiente	
1			45	es	Prohibir la caza de tiburones con fines comerciales	45	Caza de tiburones		5	Medio ambiente	
1			47	es	Prohibir el fracking y prácticas similares que pongan en riesgo al medio ambiente	47	Fracking		5	Medio ambiente	
