uuid,index,z1,z2
000057c7-295c-4a61-8f62-76aff62bf079,0,0.79273945,0.38980156
000059b8-10b9-4f74-9c01-80bd2c48f509,1,0.7073013,0.32737017
00032199-2183-48c0-8f0d-ac37dc8ece60,2,0.4921457,0.23883745
000629ba-44c0-47c1-b2b2-abe4f0ee808f,3,0.69767463,0.29441553
0006b923-77a6-40c1-95e0-f98b817bcab2,4,0.60692555,0.34652847
00074ccc-d62f-4624-8051-0458334262f5,5,0.5404727,0.3661709
0008fd2e-e3bd-4d79-9109-2c92a3bc0095,6,0.4487586,0.35678506
00097f0b-7b32-4962-9780-1ca10ece1571,7,0.52682984,0.3531763
000acf55-2412-40e3-9e9a-bb053f07b172,8,0.42446208,0.27124134
0010a36f-ae1e-49b9-90b4-be4add62a4eb,9,0.7398139,0.39542532
00116881-6975-418b-b30e-951bea3a5d33,10,0.4677641,0.2415979
00128972-f328-4aab-8c81-fd3434b39d40,11,0.49654046,0.31504434
0013eee1-33f6-4685-a699-c474c77a59fc,12,0.7046146,0.45538163
0014904c-0a4f-4d69-b64b-fe7cb8d363e5,13,0.35212293,0.31276956
0018aaa8-6ff1-47eb-8799-266f3b3bcbf4,14,0.42045438,0.28444797
001964e6-da55-45d7-9b62-31c61b441147,15,0.78701746,0.4154157
0019afe7-03fc-40b2-a8f1-6216c2943613,16,0.47799033,0.26895428
001b4613-e77c-4ec9-9f1f-317af2e1cbd4,17,0.80464995,0.43992803
001bba39-04ad-4863-91f3-e935f1d2855a,18,0.5219379,0.39210445
001c4f62-fbfc-4ab7-a54e-6e64c8e8f002,19,0.57316136,0.29650718
001e5c67-2eaf-4a0e-b8cc-8110fcdce827,20,0.4754401,0.24860947
001ec6cb-4984-41f2-8a42-2e0ff121095a,21,0.8285068,0.36703083
001f7962-b931-40d0-9184-4ca57d156542,22,0.65863866,0.4579462
0021984f-83f5-46fe-a7f8-27b3ec1bc727,23,0.58349645,0.34003088
00226ddc-d9e3-4238-a491-cb9050804f9d,24,0.31217024,0.2491964
0026963e-08bb-4596-b713-9bc2d24a6647,25,0.5350009,0.35647112
0029f5b6-8ee2-4247-8a02-e1ff88e55430,26,0.34711438,0.20617425
002cc542-685a-4cfc-9a01-7d3a64a410c5,27,0.80850035,0.40711403
002e2ce4-38e2-48da-a671-71971ede544b,28,0.532419,0.19968992
002ed813-0c3c-4604-9f1a-aeb9519a577a,29,0.74166626,0.27656513
0030ca94-70cb-41ab-9def-6bc99d4e0ec0,30,0.38493285,0.39034313
00314733-832b-47cf-a762-933d4ab41927,31,0.57871777,0.22899266
0033b5a3-e1d1-4924-afe1-f35d27d5a0d6,32,0.44483858,0.40252063
0035959e-d224-4e95-b26f-493fd941785f,33,0.5852563,0.34412283
00361499-2059-4adf-b12d-58cf154b7db0,34,0.6926234,0.3346131
003618a1-9ee3-4a02-a1c4-e76d18e0daf0,35,0.54482585,0.2805136
00387cbb-b231-40f7-8d61-bcd968f8318d,36,0.44754475,0.22827332
0039288d-487e-405b-8fbc-bf4355628592,37,0.5636907,0.30989647
003b5935-5def-4525-b5d7-e5b5c623f486,38,0.64579123,0.37597534
003f8f72-28d2-4abf-8e1a-78be45f138ed,39,0.48631474,0.32702634
0040473a-c6fa-4a5c-8649-2b00f72349a2,40,0.3666507,0.3129815
00411c63-9494-4730-83f4-7849da0be6b6,41,0.53099656,0.30983174
00429f1c-a897-4540-8f20-56f47fdcb1f3,42,0.50727826,0.27096203
0042d83f-e2f6-4e1d-afed-3b09229323b4,43,0.29620513,0.4372754
0043ce48-5a77-40a1-bd54-dbb003c6ce52,44,0.6131375,0.36469817
0043deb0-54cf-4235-ad59-098d968361fa,45,0.70721287,0.32446128
00458ad4-71df-47b1-9456-c3aaa32788f6,46,0.5707391,0.34114027
00460ffd-f219-43d8-acaa-57cfe650eaa2,47,0.5503686,0.26083803
0046c913-64f4-4794-934e-d3b686f46eee,48,0.5970666,0.28549534
004731fa-a1df-4000-b70e-0636ee185705,49,0.42369795,0.2391169
00481b88-23ae-4663-ac17-4690268873c2,50,0.6535532,0.3313133
004adbf9-f50d-4750-9b8b-996fa2d6e618,51,0.64333284,0.27106982
004b35dc-8815-4d83-8837-3da885f3715f,52,0.6929495,0.39257628
004cf9e0-27d6-4201-ad84-04bd3511f8cc,53,0.47579122,0.26454893
004ec3ed-fa05-4f6d-bc4d-1017d66b6fb4,54,0.21038568,0.51352125
0051ba6a-6176-4b9d-a6e4-378d9d730ed2,55,0.51651126,0.26300195
00520199-97f4-41e2-9a76-545315c4ca0e,56,0.62515366,0.2733028
00534b52-df2f-40e0-98ef-af1009751a44,57,0.5157239,0.2870457
0056f6b7-3082-4b9b-b5ba-e6007052e5bf,58,0.5925314,0.30519468
005798fc-a1e2-4fd4-9c26-807fa407b14e,59,0.47977343,0.33914432
005d8525-7b65-49f3-8f20-9f30cc43d09c,60,0.62212324,0.25861865
005ea312-86d8-4788-9843-712f6a8b5683,61,0.5629367,0.3038033
005f2c47-968c-48cd-a71e-c7835fec39ce,62,0.4681195,0.5055605
006305a3-68b3-4f3c-b826-4223d7e9135b,63,0.5315014,0.22295533
00667d1b-4e0f-49d1-9a4c-daac9aa59bfc,64,0.52881527,0.24490398
0066bbfd-8cbc-4626-81a5-91ba173bfeed,65,0.50849,0.29362407
006c8e80-a02f-4de0-bb4d-ad1e5d084397,66,0.57117975,0.33629498
006dbb86-9de2-4203-b771-fea517ee481c,67,0.72148323,0.33071443
006f33d9-927b-4166-80ea-72c5a1284db6,68,0.69862974,0.36516535
006fd5e3-a628-4472-b908-ce3a90e0db86,69,0.48004198,0.29260325
00707833-b57f-4c21-a1ce-019d82704ff2,70,0.76393723,0.37635335
0072e363-0c27-4b76-8743-a0fd5baeb61f,71,0.3212629,0.404431
0075744a-33c1-4223-9578-d5506ff6e635,72,0.4175032,0.29531032
00759e7e-a365-4dd0-b88e-f47b7615f613,73,0.4074489,0.20570812
